bgs,bgs (2),bgs (3),bgs (4),bgs (5),bgs (6),bgs (7),bgs (8),bgs (9),bgs (10),bgs (11),bgs (12),bgs (13),sp_wt,news-item,news-item (2),news-item (3),news-item (4),news-item (5),news-item (6),news-item (7),news-item (8),news-item (9),news-item (10),news-item (11),news-item (12),news-item (13)
渤海,辽宁,大连,LNB02038,121.25,39.48,2020-10,8.04,9.56,0.79,0.092,0.005,0.020,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02039,121.84,40.04,2020-10,8.10,9.17,1.02,0.120,0.004,0.012
渤海,辽宁,大连,LNB02040,121.09,38.88,2020-10,8.07,9.37,0.64,0.046,0.003,0.013,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02041,121.31,38.98,2020-10,8.06,9.86,0.69,0.091,0.009,0.005
渤海,辽宁,大连,LNB02042,121.52,39.26,2020-10,8.06,9.38,0.72,0.048,0.011,0.011,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02043,121.31,39.39,2020-10,8.18,9.36,0.72,0.077,0.006,0.005
渤海,辽宁,大连,LNB02044,121.33,39.62,2020-10,8.04,9.71,0.88,0.123,0.005,0.009,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02045,121.44,39.78,2020-10,8.06,10.35,1.07,0.117,0.002,0.011
渤海,辽宁,大连,LNB02046,121.17,39.33,2020-10,8.04,9.93,0.97,0.089,0.005,0.015,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02047,121.67,40.09,2020-10,8.08,9.67,0.94,0.124,0.005,0.013
渤海,辽宁,大连,LNB02048,120.88,38.99,2020-10,8.06,10.10,0.81,0.054,0.002,0.012,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02049,121.10,38.51,2020-10,8.08,9.41,0.63,0.022,未检出,0.008
渤海,辽宁,大连,LNB02050,121.67,39.33,2020-10,7.96,9.62,1.15,0.281,0.009,0.010,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,辽宁,大连,LNB02051,121.10,39.01,2020-10,8.07,9.72,0.73,0.113,0.016,未检出
渤海,辽宁,大连,LNB02052,121.57,39.24,2020-10,8.08,9.24,0.72,0.127,0.013,0.015,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02053,121.22,39.17,2020-10,8.09,9.72,0.70,0.088,0.011,0.010
渤海,辽宁,大连,LNB02054,121.25,39.46,2020-10,8.07,9.48,0.80,0.059,0.007,0.006,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02055,121.46,39.07,2020-10,8.10,9.23,0.73,0.043,0.004,0.008
渤海,辽宁,大连,LNB02056,121.56,39.13,2020-10,8.04,9.32,0.80,0.180,0.012,0.012,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02004,123.02,39.64,2020-10,8.20,9.30,1.05,0.066,0.003,0.024
黄海,辽宁,大连,LNH02006,123.14,39.28,2020-10,8.07,7.49,0.57,0.149,0.013,0.011,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02007,122.75,39.22,2020-10,7.96,7.10,0.48,0.125,0.013,0.010
黄海,辽宁,大连,LNH02009,121.95,38.96,2020-10,8.08,7.62,0.78,0.133,0.008,0.012,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02010,121.76,38.94,2020-10,8.12,7.87,1.42,0.124,0.005,0.019
黄海,辽宁,大连,LNH02011,122.40,38.90,2020-10,7.97,7.43,0.41,0.063,0.010,0.014,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02012,121.91,38.68,2020-10,8.00,8.06,0.61,0.037,0.001,0.015
黄海,辽宁,大连,LNH02014,121.36,38.54,2020-10,8.13,8.38,1.20,0.049,0.005,0.018,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02023,121.19,38.71,2020-10,8.08,10.72,0.60,0.089,0.004,0.005
黄海,辽宁,大连,LNH02024,121.35,38.79,2020-10,8.06,9.93,0.61,0.070,0.001,0.023,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02025,121.56,38.84,2020-10,8.07,10.37,0.65,0.035,0.002,0.007
黄海,辽宁,大连,LNH02026,121.67,38.95,2020-10,8.10,10.14,1.09,0.126,0.002,0.017,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02027,121.76,38.99,2020-10,8.00,10.01,0.98,0.037,未检出,0.020
黄海,辽宁,大连,LNH02028,121.82,38.86,2020-10,8.07,9.73,1.11,0.055,0.004,0.012,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02029,121.89,39.01,2020-11,8.10,9.92,0.97,0.088,0.002,0.018
黄海,辽宁,大连,LNH02030,121.92,39.01,2020-11,8.08,9.46,1.00,0.068,0.005,0.011,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02031,122.21,39.16,2020-11,8.07,9.65,0.87,0.128,0.014,0.005
黄海,辽宁,大连,LNH02032,122.36,39.30,2020-11,8.08,9.36,0.85,0.157,0.016,0.017,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02033,122.67,39.47,2020-11,8.10,8.97,0.97,0.139,0.010,0.009
黄海,辽宁,大连,LNH02034,123.37,39.70,2020-11,8.06,9.38,0.80,0.160,0.012,0.019,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02057,122.00,38.41,2020-10,8.04,9.54,1.09,0.051,0.002,0.013
黄海,辽宁,大连,LNH02058,123.08,38.43,2020-10,8.10,9.99,1.21,0.030,0.003,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02059,121.75,38.78,2020-10,8.03,9.67,0.78,0.061,0.006,0.004
黄海,辽宁,大连,LNH02060,121.63,38.50,2020-10,8.06,9.51,0.70,0.047,0.001,0.013,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02061,123.31,39.42,2020-10,8.04,9.62,1.28,0.089,0.011,0.016
黄海,辽宁,大连,LNH02062,123.33,38.92,2020-10,8.10,9.84,1.09,0.050,0.005,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02063,122.61,39.43,2020-11,8.07,9.92,0.82,0.142,0.011,0.027
黄海,辽宁,大连,LNH02064,122.39,39.32,2020-11,8.07,9.52,0.91,0.185,0.012,0.015,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02065,122.00,38.99,2020-11,8.08,9.37,0.93,0.095,0.005,0.008
黄海,辽宁,大连,LNH02066,121.68,38.86,2020-10,7.99,10.07,0.86,0.053,0.001,0.009,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02067,121.25,38.78,2020-10,7.99,10.11,0.71,0.042,0.003,未检出
黄海,辽宁,大连,LNH02068,122.84,39.54,2020-11,8.05,9.83,0.89,0.139,0.006,0.005,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02069,122.19,39.20,2020-11,8.09,9.72,0.84,0.165,0.010,0.028
黄海,辽宁,大连,LNH02070,121.52,38.81,2020-10,7.99,9.88,0.71,0.029,0.001,0.005,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02071,121.41,38.79,2020-10,7.99,10.13,0.65,0.040,0.003,0.017
黄海,辽宁,大连,LNH02072,121.29,38.69,2020-10,8.08,9.37,0.66,0.089,0.006,0.012,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02073,122.00,38.92,2020-10,8.11,9.97,1.31,0.038,0.006,未检出
黄海,辽宁,大连,LNH02074,122.65,39.39,2020-11,8.08,9.91,0.95,0.148,0.013,0.012,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02075,123.06,39.52,2020-11,8.06,9.82,0.90,0.145,0.011,0.007
黄海,辽宁,大连,LNH02076,123.37,39.60,2020-11,8.08,9.55,0.96,0.152,0.013,0.036,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02077,123.17,39.67,2020-11,8.06,9.35,0.87,0.146,0.010,0.009
黄海,辽宁,大连,LNH02078,122.37,39.13,2020-10,8.05,9.68,1.23,0.156,0.019,0.015,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02079,122.25,38.98,2020-10,8.12,9.31,1.10,0.069,0.010,未检出
黄海,辽宁,大连,LNH02080,121.57,38.67,2020-10,8.04,9.45,0.78,0.095,0.006,0.017,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02081,123.50,39.76,2020-11,8.04,8.99,0.85,0.151,0.013,0.038
黄海,辽宁,大连,LNH02082,122.48,39.25,2020-11,8.07,9.42,0.88,0.180,0.014,0.007,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02083,123.34,39.72,2020-11,8.06,9.26,0.92,0.160,0.013,0.017
黄海,辽宁,大连,LNH02084,122.49,39.36,2020-11,8.06,9.38,0.90,0.185,0.014,0.014,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,大连,LNH02085,123.23,39.55,2020-10,8.10,9.69,1.29,0.110,0.016,0.007
黄海,辽宁,大连,LNH02086,122.97,39.38,2020-10,8.04,9.64,0.99,0.080,0.018,0.008,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02087,123.36,39.28,2020-10,8.15,9.32,1.01,0.049,0.014,0.007
黄海,辽宁,大连,LNH02088,123.14,39.39,2020-10,8.15,9.54,1.17,0.104,0.021,0.010,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,大连,LNH02089,122.50,39.13,2020-10,8.14,9.57,1.20,0.116,0.023,未检出
黄海,辽宁,大连,LNH02090,122.12,39.03,2020-11,8.09,9.99,0.97,0.108,0.006,0.008,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02091,121.46,38.60,2020-10,8.06,9.26,1.13,0.132,0.003,0.020
黄海,辽宁,大连,LNH02092,123.42,39.45,2020-10,8.12,9.48,1.06,0.079,0.013,0.005,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,大连,LNH02093,122.59,39.24,2020-11,8.09,9.78,0.89,0.168,0.017,未检出
黄海,辽宁,大连,LNH02094,122.93,39.06,2020-10,8.12,9.47,1.27,0.067,0.019,0.028,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,大连,LNH02095,123.28,39.73,2020-11,8.07,10.02,0.91,0.160,0.015,0.016
黄海,辽宁,大连,LNH02096,122.09,39.06,2020-11,8.08,9.37,0.94,0.103,0.007,0.034,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,劣四类,渤海,辽宁,营口,LNB08001,122.12,40.66,2020-10,7.85,9.16,2.43,1.213,0.030,0.035
渤海,辽宁,营口,LNB08002,121.83,40.24,2020-11,8.24,8.03,1.20,0.153,0.013,0.014,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,劣四类,渤海,辽宁,营口,LNB08003,122.15,40.37,2020-10,8.11,9.72,1.28,0.595,0.011,未检出
渤海,辽宁,营口,LNB08004,122.07,40.27,2020-10,8.08,9.88,1.20,0.373,0.003,未检出,三类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,渤海,辽宁,营口,LNB08005,121.98,40.14,2020-10,8.01,9.97,1.60,0.321,0.007,未检出
渤海,辽宁,营口,LNB08006,121.91,40.45,2020-10,8.21,9.70,1.68,0.371,0.009,未检出,三类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,辽宁,营口,LNB08007,121.93,40.16,2020-10,8.04,9.88,0.96,0.265,0.008,未检出
渤海,辽宁,营口,LNB08008,122.16,40.44,2020-10,8.17,9.60,1.12,0.486,0.013,未检出,四类,,,,,,,,,,,,,
,,,,,,,,,,,,,劣四类,渤海,辽宁,营口,LNB08009,122.22,40.52,2020-10,8.07,9.67,1.36,0.878,0.030,未检出
渤海,辽宁,营口,LNB08010,122.05,40.47,2020-10,8.16,9.86,1.12,0.470,0.011,未检出,四类,,,,,,,,,,,,,
,,,,,,,,,,,,,四类,渤海,辽宁,营口,LNB08011,121.96,40.36,2020-10,8.10,9.78,1.36,0.420,0.009,未检出
渤海,辽宁,营口,LNB08012,121.70,40.22,2020-10,8.15,9.76,0.92,0.170,0.007,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,劣四类,渤海,辽宁,盘锦,LNB12001,121.82,40.83,2020-11,8.20,10.33,3.52,1.070,0.036,0.033
渤海,辽宁,盘锦,LNB12002,121.77,40.65,2020-10,8.29,9.46,2.85,0.910,0.004,0.040,劣四类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,渤海,辽宁,盘锦,LNB12003,121.99,40.64,2020-10,8.15,10.80,1.66,0.384,0.015,0.029
渤海,辽宁,盘锦,LNB12004,121.73,40.77,2020-10,8.27,10.70,1.81,0.582,0.010,0.037,劣四类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,渤海,辽宁,盘锦,LNB12005,121.63,40.69,2020-10,8.24,13.40,1.70,0.398,0.007,0.028
渤海,辽宁,盘锦,LNB12006,121.70,40.59,2020-10,8.20,10.90,1.56,0.511,0.013,0.026,劣四类,,,,,,,,,,,,,
,,,,,,,,,,,,,四类,渤海,辽宁,盘锦,LNB12007,121.85,40.59,2020-10,8.17,10.60,1.60,0.403,0.006,0.012
渤海,辽宁,盘锦,LNB12008,121.97,40.73,2020-10,8.10,11.90,1.82,0.473,0.007,0.041,四类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,渤海,辽宁,锦州,LNB07001,121.31,40.84,2020-10,8.24,8.88,1.33,0.368,0.011,0.018
渤海,辽宁,锦州,LNB07002,121.51,40.80,2020-10,8.20,9.24,1.84,0.256,0.001,0.034,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,锦州,LNB07003,121.05,40.79,2020-10,8.05,8.52,0.95,0.159,0.002,0.040
渤海,辽宁,锦州,LNB07004,121.26,40.69,2020-10,8.20,8.75,1.12,0.213,0.006,0.030,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,渤海,辽宁,锦州,LNB07005,121.52,40.78,2020-10,8.26,9.61,1.44,0.353,0.002,0.006
渤海,辽宁,锦州,LNB07006,121.43,40.63,2020-10,8.31,9.25,1.86,0.531,0.001,0.005,劣四类,,,,,,,,,,,,,
,,,,,,,,,,,,,四类,渤海,辽宁,锦州,LNB07007,121.18,40.81,2020-10,8.37,9.30,1.74,0.452,0.002,0.005
渤海,辽宁,锦州,LNB07008,121.38,40.74,2020-10,8.28,9.53,1.01,0.431,0.001,0.008,四类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,葫芦岛,LNB16001,120.82,40.47,2020-10,8.08,8.74,0.71,0.031,0.002,0.022
渤海,辽宁,葫芦岛,LNB16002,120.36,40.00,2020-10,8.09,8.91,0.64,0.052,0.007,0.020,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,葫芦岛,LNB16003,121.05,40.70,2020-10,8.17,11.69,1.03,0.196,0.004,0.011
渤海,辽宁,葫芦岛,LNB16004,120.85,40.66,2020-10,8.27,10.73,2.21,0.167,0.004,0.011,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,辽宁,葫芦岛,LNB16005,120.69,40.48,2020-10,8.26,11.65,2.01,0.073,0.005,0.012
渤海,辽宁,葫芦岛,LNB16006,120.55,40.28,2020-10,8.21,11.64,0.99,0.079,0.008,0.014,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,葫芦岛,LNB16007,120.33,40.15,2020-10,8.27,11.54,1.24,0.045,0.004,0.011
渤海,辽宁,葫芦岛,LNB16008,119.99,40.04,2020-10,8.13,10.51,0.79,0.162,0.013,0.010,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,葫芦岛,LNB16009,120.65,40.17,2020-10,8.24,11.79,1.87,0.054,0.008,0.008
渤海,辽宁,葫芦岛,LNB16010,121.09,40.58,2020-10,8.29,10.35,1.38,0.170,0.003,0.006,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,葫芦岛,LNB16011,119.93,40.01,2020-10,8.19,10.78,0.64,0.116,0.009,0.011
渤海,辽宁,葫芦岛,LNB16012,120.19,39.92,2020-11,8.31,11.21,1.80,0.052,0.020,0.007,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,葫芦岛,LNB16013,120.80,40.28,2020-10,8.23,12.10,1.42,0.083,0.008,0.007
渤海,辽宁,葫芦岛,LNB16014,120.11,40.07,2020-10,8.26,11.23,1.06,0.079,0.019,0.010,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,葫芦岛,LNB16015,120.87,40.59,2020-10,8.31,11.56,1.02,0.127,0.005,0.010
渤海,辽宁,葫芦岛,LNB16016,120.70,40.40,2020-10,8.16,11.31,1.51,0.097,0.007,0.006,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,葫芦岛,LNB16017,121.02,40.75,2020-10,8.20,11.95,1.47,0.164,0.006,0.010
渤海,辽宁,葫芦岛,LNB16018,120.45,40.14,2020-10,8.32,11.51,0.66,0.046,0.020,0.008,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,辽宁,葫芦岛,LNB16019,120.25,40.03,2020-11,8.24,11.41,1.10,0.104,0.018,0.008
渤海,辽宁,葫芦岛,LNB16020,120.97,40.63,2020-10,8.04,10.78,1.08,0.160,0.007,0.006,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,辽宁,葫芦岛,LNB16021,120.67,40.28,2020-10,8.22,11.54,1.07,0.078,0.017,0.007
渤海,河北,秦皇岛,HBB03001,119.71,39.93,2020-11,8.16,7.96,1.36,0.097,0.014,0.020,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,河北,秦皇岛,HBB03002,119.57,39.85,2020-11,8.19,7.96,1.26,0.036,0.006,0.014
渤海,河北,秦皇岛,HBB03003,119.78,39.73,2020-11,8.24,7.84,1.30,0.072,0.013,0.016,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,河北,秦皇岛,HBB03004,119.33,39.51,2020-11,8.18,8.04,1.33,0.136,0.025,0.004
渤海,河北,秦皇岛,HBB03005,119.39,39.70,2020-10,8.12,9.45,1.14,0.048,0.002,0.002,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,河北,秦皇岛,HBB03006,119.52,39.75,2020-10,8.10,9.70,1.18,0.043,0.002,0.002
渤海,河北,秦皇岛,HBB03007,119.84,39.94,2020-10,8.14,9.74,1.38,0.072,0.010,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,河北,秦皇岛,HBB03008,119.79,39.94,2020-10,8.12,9.97,1.22,0.105,0.009,0.002
渤海,河北,秦皇岛,HBB03009,119.66,39.87,2020-10,8.14,9.73,1.06,0.058,0.010,未检出,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,河北,秦皇岛,HBB03010,119.52,39.79,2020-10,7.99,9.42,1.27,0.052,0.004,0.003
渤海,河北,唐山,HBB02001,118.98,39.15,2020-11,8.18,7.90,1.17,0.135,0.022,0.003,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,河北,唐山,HBB02002,119.42,39.15,2020-11,8.18,7.86,1.11,0.117,0.010,0.008
渤海,河北,唐山,HBB02003,118.40,38.97,2020-11,8.21,8.24,1.29,0.157,0.013,0.009,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,河北,唐山,HBB02004,118.66,39.08,2020-10,8.16,9.69,1.25,0.197,0.020,0.002
渤海,河北,唐山,HBB02005,118.63,38.92,2020-10,8.16,8.85,1.20,0.173,0.017,0.003,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,河北,唐山,HBB02006,119.47,39.34,2020-10,8.15,8.99,1.21,0.106,0.008,0.004
渤海,河北,唐山,HBB02007,118.99,39.00,2020-10,7.90,9.22,1.10,0.135,0.014,0.003,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,河北,唐山,HBB02008,118.49,38.83,2020-10,8.17,8.88,1.15,0.124,0.012,0.004
渤海,河北,唐山,HBB02009,118.07,39.09,2020-10,8.45,10.13,1.84,0.029,0.007,0.003,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,河北,唐山,HBB02010,119.26,39.13,2020-10,8.11,8.93,1.29,0.120,0.013,0.004
渤海,河北,唐山,HBB02011,118.25,38.81,2020-10,7.87,9.29,1.15,0.210,0.021,0.004,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,河北,唐山,HBB02012,118.88,39.10,2020-10,8.06,8.38,1.36,0.161,0.011,0.004
渤海,河北,唐山,HBB02013,118.74,39.00,2020-10,8.07,8.95,1.40,0.162,0.013,0.004,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,河北,唐山,HBB02014,118.16,38.93,2020-10,8.24,9.01,1.23,0.206,0.019,0.003
渤海,河北,唐山,HBB02015,119.21,39.33,2020-10,8.08,9.14,1.36,0.209,0.011,0.003,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,河北,唐山,HBB02016,118.35,39.00,2020-10,8.38,10.13,1.36,0.042,0.014,0.002
渤海,河北,唐山,HBB02017,118.15,39.04,2020-10,8.46,9.38,1.33,0.036,0.005,0.002,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,天津,滨海新区,TJB02002,118.01,39.08,2020-11,8.31,9.70,1.81,0.028,0.005,0.025
渤海,天津,滨海新区,TJB02005,118.01,38.92,2020-11,8.45,9.64,1.66,0.039,0.006,0.005,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,天津,滨海新区,TJB02006,117.80,38.81,2020-11,8.47,10.31,1.60,0.020,0.004,0.042
渤海,天津,滨海新区,TJB02008,118.10,38.68,2020-11,8.22,8.59,1.03,0.206,0.010,0.008,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,天津,滨海新区,TJB02011,118.00,39.19,2020-10,8.48,10.62,2.67,0.029,0.008,0.006
渤海,天津,滨海新区,TJB02012,117.77,38.67,2020-10,8.48,10.72,1.88,0.040,0.002,0.008,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,渤海,天津,滨海新区,TJB02013,117.97,39.13,2020-10,8.47,10.50,3.09,0.032,0.002,0.004
